Time,AmountOfErrors
32,1,error_70
45,2,error_87-error_70
53,3,error_87-error_70-error_34
85,4,error_87-error_10-error_70-error_34
147,5,error_87-error_10-error_74-error_70-error_34
230,6,error_87-error_10-error_74-error_70-error_49-error_34
267,7,error_87-error_10-error_74-error_70-error_49-error_34-error_35
279,8,error_87-error_10-error_74-error_75-error_70-error_49-error_34-error_35
353,9,error_87-error_10-error_74-error_1-error_75-error_70-error_49-error_34-error_35
371,10,error_87-error_10-error_74-error_1-error_75-error_70-error_90-error_49-error_34-error_35
542,11,error_87-error_10-error_74-error_1-error_75-error_70-error_71-error_90-error_49-error_34-error_35
647,12,error_87-error_10-error_74-error_1-error_75-error_70-error_71-error_90-error_49-error_48-error_34-error_35
691,13,error_87-error_10-error_74-error_1-error_75-error_70-error_71-error_49-error_16-error_48-error_34-error_35-error_90
726,14,error_87-error_10-error_74-error_1-error_75-error_70-error_71-error_49-error_16-error_48-error_37-error_34-error_35-error_90
760,15,error_87-error_10-error_74-error_1-error_75-error_3-error_70-error_71-error_49-error_16-error_48-error_37-error_34-error_35-error_90
1046,16,error_87-error_10-error_74-error_1-error_75-error_3-error_70-error_71-error_49-error_16-error_48-error_37-error_34-error_23-error_35-error_90
1312,17,error_87-error_10-error_74-error_1-error_30-error_75-error_3-error_70-error_71-error_49-error_16-error_48-error_37-error_34-error_23-error_35-error_90
1600,18,error_87-error_10-error_74-error_1-error_30-error_52-error_75-error_3-error_70-error_71-error_49-error_16-error_48-error_37-error_34-error_23-error_35-error_90
2322,19,error_87-error_10-error_74-error_1-error_30-error_52-error_75-error_31-error_3-error_70-error_71-error_49-error_16-error_48-error_37-error_34-error_23-error_35-error_90
2342,20,error_87-error_10-error_74-error_1-error_30-error_52-error_75-error_31-error_3-error_70-error_71-error_49-error_16-error_48-error_37-error_34-error_23-error_35-error_68-error_90
6053,21,error_87-error_10-error_74-error_1-error_30-error_52-error_75-error_31-error_3-error_72-error_70-error_71-error_49-error_16-error_48-error_37-error_34-error_23-error_35-error_68-error_90
32949,22,error_87-error_10-error_74-error_1-error_30-error_52-error_75-error_31-error_3-error_72-error_70-error_71-error_82-error_49-error_16-error_48-error_37-error_34-error_23-error_35-error_68-error_90
